Block Name,Cell ID,Cell Type,ids,object_id,stress_rr,stress_rz,stress_tt,stress_zz
block_1,0,9,6,1,-67.639,10.5578,-13.3752,-21.1846
block_1,1,9,7,1,-32.3257,10.0111,-7.53927,-16.0279
block_1,2,9,8,1,0.725786,8.75286,-2.03576,-10.1564
block_1,3,9,9,1,33.1305,7.35123,3.28432,-4.39677
block_1,4,9,10,1,66.5445,5.70343,8.60482,0.47734
block_1,5,9,11,1,-39.343,3.31211,8.32905,5.48136
block_1,6,9,12,1,-20.7907,8.30671,4.00729,3.12824
block_1,7,9,13,1,-0.555953,10.375,0.335634,1.1953
block_1,8,9,14,1,20.2572,9.54961,-3.10448,-0.451153
block_1,9,9,15,1,40.7456,5.85983,-6.68661,-1.96074
block_1,10,9,16,1,-18.1927,5.32473,19.5474,-1.29966
block_1,11,9,17,1,-8.63886,7.43975,9.92687,-0.832347
block_1,12,9,18,1,0.308393,8.09162,0.0894574,-0.893982
block_1,13,9,19,1,9.05048,7.11227,-9.8566,-1.15699
block_1,14,9,20,1,17.7945,4.46366,-19.8635,-1.32777
block_1,15,9,21,1,2.11588,3.62683,32.1082,0.412709
block_1,16,9,22,1,0.905963,6.34818,15.963,-0.242001
block_1,17,9,23,1,-0.00533663,7.23135,0.0339039,-0.727593
block_1,18,9,24,1,-0.869242,6.39546,-15.8595,-1.12482
block_1,19,9,25,1,-1.82115,3.86211,-31.8539,-1.46922
block_1,20,9,26,1,19.3841,3.0667,43.0209,-0.0190846
block_1,21,9,27,1,9.73811,5.22411,21.5217,-0.25991
block_1,22,9,28,1,0.0803457,5.96717,0.0776095,-0.656705
block_1,23,9,29,1,-9.58196,5.23079,-21.3751,-1.08285
block_1,24,9,30,1,-19.2972,3.01219,-42.9243,-1.44494
block_1,25,9,31,1,34.6529,2.11403,53.4976,0.0679469
block_1,26,9,32,1,17.3444,4.21182,26.7243,-0.282767
block_1,27,9,33,1,0.0627171,4.89383,0.0610601,-0.702528
block_1,28,9,34,1,-17.2216,4.2033,-26.6012,-1.11477
block_1,29,9,35,1,-34.514,2.12462,-53.3596,-1.42394
block_1,30,9,36,1,48.3886,1.25588,64.1678,0.159631
block_1,31,9,37,1,24.162,3.14987,32.0181,-0.288449
block_1,32,9,38,1,0.0645683,3.80103,0.0656461,-0.685553
block_1,33,9,39,1,-24.0307,3.15422,-31.8864,-1.08386
block_1,34,9,40,1,-48.2604,1.2543,-64.0401,-1.54506
block_1,35,9,41,1,62.4923,-0.730784,76.9422,-0.632688
block_1,36,9,42,1,31.6679,2.69687,38.3822,-0.551166
block_1,37,9,43,1,0.0652116,3.81581,0.0647694,-0.690497
block_1,38,9,44,1,-31.5386,2.69502,-38.2531,-0.829954
block_1,39,9,45,1,-62.3627,-0.730678,-76.8121,-0.744428
block_1,40,9,46,1,94.9017,-1.82011,94.9017,2.67136
block_1,41,9,47,1,46.8215,1.93003,46.8215,1.26683
block_1,42,9,48,1,0.0646725,3.09875,0.0646725,-0.68924
block_1,43,9,49,1,-46.6917,1.93121,-46.6917,-2.64508
block_1,44,9,50,1,-94.772,-1.82006,-94.772,-4.05102
block_2,0,9,1,2,-41.3295,-18.3641,-5.0656,10.1159
block_2,1,9,2,2,-17.6431,-24.1861,-0.755043,7.64174
block_2,2,9,3,2,1.15758,-25.372,1.89601,4.56116
block_2,3,9,4,2,18.664,-22.4398,4.13351,1.45016
block_2,4,9,5,2,37.9768,-15.3,7.0626,-1.1449
