r0,r1,t0,t1,vol
20.8,23.4,0,0.36,129.971457990194
20.8,23.4,0.36,0.72,129.971457990194
20.8,23.4,0.72,1.08,129.971457990194
20.8,23.4,1.08,1.44,129.971457990194
20.8,23.4,1.44,1.8,129.971457990194
18.2,20.8,0,0.36,114.680698226642
18.2,20.8,0.36,0.72,114.680698226642
18.2,20.8,0.72,1.08,114.680698226642
18.2,20.8,1.08,1.44,114.680698226642
18.2,20.8,1.44,1.8,114.680698226642
15.6,18.2,0,0.36,99.3899384630895
15.6,18.2,0.36,0.72,99.3899384630895
15.6,18.2,0.72,1.08,99.3899384630896
15.6,18.2,1.08,1.44,99.3899384630895
15.6,18.2,1.44,1.8,99.3899384630895
13,15.6,0,0.36,84.0991786995373
13,15.6,0.36,0.72,84.0991786995373
13,15.6,0.72,1.08,84.0991786995373
13,15.6,1.08,1.44,84.0991786995373
13,15.6,1.44,1.8,84.0991786995373
10.4,13,0,0.36,68.8084189359851
10.4,13,0.36,0.72,68.8084189359851
10.4,13,0.72,1.08,68.8084189359851
10.4,13,1.08,1.44,68.8084189359851
10.4,13,1.44,1.8,68.8084189359851
7.8,10.4,0,0.36,53.5176591724329
7.8,10.4,0.36,0.72,53.5176591724329
7.8,10.4,0.72,1.08,53.5176591724329
7.8,10.4,1.08,1.44,53.5176591724328
7.8,10.4,1.44,1.8,53.5176591724328
5.2,7.8,0,0.36,38.2268994088806
5.2,7.8,0.36,0.72,38.2268994088806
5.2,7.8,0.72,1.08,38.2268994088806
5.2,7.8,1.08,1.44,38.2268994088806
5.2,7.8,1.44,1.8,38.2268994088806
2.6,5.2,0,0.36,22.9361396453284
2.6,5.2,0.36,0.72,22.9361396453284
2.6,5.2,0.72,1.08,22.9361396453284
2.6,5.2,1.08,1.44,22.9361396453284
2.6,5.2,1.44,1.8,22.9361396453284
0,2.6,0,0.36,7.64537988177612
0,2.6,0.36,0.72,7.64537988177612
0,2.6,0.72,1.08,7.64537988177612
0,2.6,1.08,1.44,7.64537988177612
0,2.6,1.44,1.8,7.64537988177612
23.4,25.8,0,0.36,133.545333792918
23.4,25.8,0.36,0.72,133.545333792918
23.4,25.8,0.72,1.08,133.545333792918
23.4,25.8,1.08,1.44,133.545333792918
23.4,25.8,1.44,1.8,133.545333792918
