Block Name,Cell ID,Cell Type,ids,object_id,stress_rr,stress_rz,stress_tt,stress_zz
block_1,0,9,6,1,18.7473,6.91696,91.724,-4.6006
block_1,1,9,7,1,9.7881,9.6956,45.7321,-3.59483
block_1,2,9,8,1,0.147921,10.4521,-0.371941,-2.68
block_1,3,9,9,1,-9.57839,9.2275,-46.498,-1.78012
block_1,4,9,10,1,-18.786,6.06138,-92.5495,-0.810378
block_1,5,9,11,1,47.2133,4.56113,110.985,1.24332
block_1,6,9,12,1,23.3464,8.68348,55.4415,0.422267
block_1,7,9,13,1,-0.0495626,10.1272,0.155485,-0.274432
block_1,8,9,14,1,-23.3344,8.93686,-55.0876,-0.922054
block_1,9,9,15,1,-46.8333,5.07191,-110.495,-1.59863
block_1,10,9,16,1,72.5808,4.34903,127.561,-0.230203
block_1,11,9,17,1,36.4117,7.62054,63.818,-0.387679
block_1,12,9,18,1,0.128384,8.70669,0.0992456,-0.74016
block_1,13,9,19,1,-36.1969,7.55428,-63.6409,-1.13081
block_1,14,9,20,1,-72.5281,4.17969,-127.46,-1.4086
block_1,15,9,21,1,96.3575,3.25404,144.32,0.134304
block_1,16,9,22,1,48.1732,6.58721,72.1381,-0.273526
block_1,17,9,23,1,0.0742178,7.69075,0.096427,-0.694381
block_1,18,9,24,1,-48.0145,6.60173,-71.9378,-1.09779
block_1,19,9,25,1,-96.1454,3.30991,-144.089,-1.44498
block_1,20,9,26,1,118.542,2.35617,161.168,0.0477476
block_1,21,9,27,1,59.314,5.56352,80.571,-0.293501
block_1,22,9,28,1,0.101114,6.64551,0.110024,-0.682449
block_1,23,9,29,1,-59.1129,5.56726,-80.3527,-1.07748
block_1,24,9,30,1,-118.355,2.35032,-160.96,-1.44328
block_1,25,9,31,1,140.163,1.15745,179.344,0.00112723
block_1,26,9,32,1,70.2024,4.68437,89.664,-0.259198
block_1,27,9,33,1,0.105063,5.84015,0.111142,-0.691292
block_1,28,9,34,1,-69.9926,4.68527,-89.4413,-1.12187
block_1,29,9,35,1,-139.949,1.16479,-179.118,-1.37396
block_1,30,9,36,1,163.127,0.020566,201.284,0.349379
block_1,31,9,37,1,81.4973,3.75475,100.478,-0.331604
block_1,32,9,38,1,0.112052,5.04576,0.115842,-0.687708
block_1,33,9,39,1,-81.2727,3.75761,-100.247,-1.04419
block_1,34,9,40,1,-162.903,0.0242043,-201.053,-1.72816
block_1,35,9,41,1,192.855,-4.41377,232.415,-1.99963
block_1,36,9,42,1,97.7136,4.54615,115.988,-1.07947
block_1,37,9,43,1,0.117142,7.4688,0.118512,-0.688567
block_1,38,9,44,1,-97.4795,4.54719,-115.751,-0.297786
block_1,39,9,45,1,-192.621,-4.41089,-232.178,0.62287
block_1,40,9,46,1,281.816,-6.33489,281.816,7.7412
block_1,41,9,47,1,139.091,4.23437,139.091,4.26898
block_1,42,9,48,1,0.120304,7.51415,0.120304,-0.687986
block_1,43,9,49,1,-138.85,4.23532,-138.85,-5.64504
block_1,44,9,50,1,-281.575,-6.33345,-281.575,-9.11796
block_2,0,9,1,2,5.36292,-1.63178,78.9624,-3.1197
block_2,1,9,2,2,2.85317,0.540085,39.4304,-2.50363
block_2,2,9,3,2,0.21404,1.3778,-0.0278514,-1.57619
block_2,3,9,4,2,-2.64067,0.83133,-39.5526,-0.656268
block_2,4,9,5,2,-5.88328,-1.11743,-79.3089,-0.0676819
