r0,r1,t0,t1,vol
22.7842,23.4,0,0.36,32.1651
22.7842,23.4,0.36,0.72,32.1651
22.7842,23.4,0.72,1.08,32.1651
22.7842,23.4,1.08,1.44,32.1651
22.7842,23.4,1.44,1.8,32.1651
22.1684,22.7842,0,0.36,31.3074
22.1684,22.7842,0.36,0.72,31.3074
22.1684,22.7842,0.72,1.08,31.3074
22.1684,22.7842,1.08,1.44,31.3074
22.1684,22.7842,1.44,1.8,31.3074
21.5526,22.1684,0,0.36,30.4496
21.5526,22.1684,0.36,0.72,30.4496
21.5526,22.1684,0.72,1.08,30.4496
21.5526,22.1684,1.08,1.44,30.4496
21.5526,22.1684,1.44,1.8,30.4496
20.9368,21.5526,0,0.36,29.5919
20.9368,21.5526,0.36,0.72,29.5919
20.9368,21.5526,0.72,1.08,29.5919
20.9368,21.5526,1.08,1.44,29.5919
20.9368,21.5526,1.44,1.8,29.5919
20.3211,20.9368,0,0.36,28.7295
20.3211,20.9368,0.36,0.72,28.7295
20.3211,20.9368,0.72,1.08,28.7295
20.3211,20.9368,1.08,1.44,28.7295
20.3211,20.9368,1.44,1.8,28.7295
19.7053,20.3211,0,0.36,27.8765
19.7053,20.3211,0.36,0.72,27.8765
19.7053,20.3211,0.72,1.08,27.8765
19.7053,20.3211,1.08,1.44,27.8765
19.7053,20.3211,1.44,1.8,27.8765
19.0895,19.7053,0,0.36,27.0188
19.0895,19.7053,0.36,0.72,27.0188
19.0895,19.7053,0.72,1.08,27.0188
19.0895,19.7053,1.08,1.44,27.0188
19.0895,19.7053,1.44,1.8,27.0188
18.4737,19.0894,0,0.36,26.1567
18.4737,19.0894,0.36,0.72,26.1567
18.4737,19.0894,0.72,1.08,26.1567
18.4737,19.0894,1.08,1.44,26.1567
18.4737,19.0894,1.44,1.8,26.1567
17.8579,18.4737,0,0.36,25.3033
17.8579,18.4737,0.36,0.72,25.3033
17.8579,18.4737,0.72,1.08,25.3033
17.8579,18.4737,1.08,1.44,25.3033
17.8579,18.4737,1.44,1.8,25.3033
17.2421,17.8579,0,0.36,24.4455
17.2421,17.8579,0.36,0.72,24.4455
17.2421,17.8579,0.72,1.08,24.4455
17.2421,17.8579,1.08,1.44,24.4455
17.2421,17.8579,1.44,1.8,24.4455
16.6263,17.2421,0,0.36,23.5878
16.6263,17.2421,0.36,0.72,23.5878
16.6263,17.2421,0.72,1.08,23.5878
16.6263,17.2421,1.08,1.44,23.5878
16.6263,17.2421,1.44,1.8,23.5878
16.0105,16.6263,0,0.36,22.73
16.0105,16.6263,0.36,0.72,22.73
16.0105,16.6263,0.72,1.08,22.73
16.0105,16.6263,1.08,1.44,22.73
