Block,Point,Points_0,Points_1,Points_2,Points_Magnitude,ids,,r0,r1,t0,t1,vol
block_2,1088,25.4,1.8,0,25.4637,78,0.063599999999998,23.3364,23.4,0,0.05625,
block_2,1087,25.4,1.74375,0,25.4598,13233,,,,0.05625,0.1125,
block_2,1084,25.4,1.6875,0,25.456,3417,,,,,,
block_2,1083,25.4,1.63125,0,25.4523,13230,,,,,,
block_2,1072,25.4,1.575,0,25.4488,909,,,,,,
block_2,1071,25.4,1.51875,0,25.4454,13221,,,,,,
block_2,1068,25.4,1.4625,0,25.4421,3414,,,,,,
block_2,1067,25.4,1.40625,0,25.4389,13218,,,,,,
block_2,1024,25.4,1.35,0,25.4359,255,,,,,,
block_2,1023,25.4,1.29375,0,25.4329,13185,,,,,,
block_2,1020,25.4,1.2375,0,25.4301,3405,,,,,,
block_2,1019,25.4,1.18125,0,25.4275,13182,,,,,,
block_2,1008,25.4,1.125,0,25.4249,906,,,,,,
block_2,1007,25.4,1.06875,0,25.4225,13173,,,,,,
block_2,1004,25.4,1.0125,0,25.4202,3402,,,,,,
block_2,1003,25.4,0.95625,0,25.418,13170,,,,,,
block_2,832,25.4,0.9,0,25.4159,76,,,,,,
block_2,831,25.4,0.84375,0,25.414,13041,,,,,,
block_2,828,25.4,0.7875,0,25.4122,3369,,,,,,
block_2,827,25.4,0.73125,0,25.4105,13038,,,,,,
block_2,816,25.4,0.675,0,25.409,897,,,,,,
block_2,815,25.4,0.61875,0,25.4075,13029,,,,,,
block_2,812,25.4,0.5625,0,25.4062,3366,,,,,,
block_2,811,25.4,0.50625,0,25.405,13026,,,,,,
block_2,768,25.4,0.45,0,25.404,252,,,,,,
block_2,767,25.4,0.39375,0,25.4031,12993,,,,,,
block_2,764,25.4,0.3375,0,25.4022,3357,,,,,,
block_2,763,25.4,0.28125,0,25.4016,12990,,,,,,
block_2,752,25.4,0.225,0,25.401,894,,,,,,
block_2,751,25.4,0.16875,0,25.4006,12981,,,,,,
block_2,748,25.4,0.1125,0,25.4002,3354,,,,,,
block_2,746,25.4,0.05625,0,25.4001,12978,,,,,,
block_2,747,25.4,0,0,25.4,77,,,,,,
block_2,1086,25.3375,1.8,0,25.4014,13232,,,,,,
block_2,1085,25.3375,1.74375,0,25.3974,13231,,,,,,
block_2,1082,25.3375,1.6875,0,25.3936,13229,,,,,,
block_2,1081,25.3375,1.63125,0,25.39,13228,,,,,,
