Block Name,Point ID,vtkOriginalPointIds,Points_0,Points_1,Points_2,Points_Magnitude,ids
block_1,0,0,23.4,0,0,23.4,1
block_1,1,1,23.4,0.36,0,23.4028,2
block_1,2,2,22.7842,0.36,0,22.7871,3
block_1,3,3,22.7842,0,0,22.7842,4
block_1,4,4,23.4,0.72,0,23.4111,5
block_1,5,5,22.7842,0.72,0,22.7956,6
block_1,6,6,23.4,1.08,0,23.4249,7
block_1,7,7,22.7842,1.08,0,22.8098,8
block_1,8,8,23.4,1.44,0,23.4443,9
block_1,9,9,22.7842,1.44,0,22.8297,10
block_1,10,10,23.4,1.8,0,23.4691,11
block_1,11,11,22.7842,1.8,0,22.8552,12
block_1,12,12,22.1684,0.36,0,22.1713,13
block_1,13,13,22.1684,0,0,22.1684,14
block_1,14,14,22.1684,0.72,0,22.1801,15
block_1,15,15,22.1684,1.08,0,22.1947,16
block_1,16,16,22.1684,1.44,0,22.2151,17
block_1,17,17,22.1684,1.8,0,22.2414,18
block_1,18,18,21.5526,0.36,0,21.5556,19
block_1,19,19,21.5526,0,0,21.5526,20
block_1,20,20,21.5526,0.72,0,21.5647,21
block_1,21,21,21.5526,1.08,0,21.5797,22
block_1,22,22,21.5526,1.44,0,21.6007,23
block_1,23,23,21.5526,1.8,0,21.6277,24
block_1,24,24,20.9368,0.36,0,20.9399,25
block_1,25,25,20.9368,0,0,20.9368,26
block_1,26,26,20.9368,0.72,0,20.9492,27
block_1,27,27,20.9368,1.08,0,20.9647,28
block_1,28,28,20.9368,1.44,0,20.9863,29
block_1,29,29,20.9368,1.8,0,21.0141,30
block_1,30,30,20.3211,0.36,0,20.3242,31
block_1,31,31,20.3211,0,0,20.3211,32
block_1,32,32,20.3211,0.72,0,20.3338,33
block_1,33,33,20.3211,1.08,0,20.3497,34
block_1,34,34,20.3211,1.44,0,20.372,35
block_1,35,35,20.3211,1.8,0,20.4006,36
block_1,36,36,19.7053,0.36,0,19.7086,37
block_1,37,37,19.7053,0,0,19.7053,38
block_1,38,38,19.7053,0.72,0,19.7184,39
block_1,39,39,19.7053,1.08,0,19.7348,40
block_1,40,40,19.7053,1.44,0,19.7578,41
block_1,41,41,19.7053,1.8,0,19.7873,42
block_1,42,42,19.0895,0.36,0,19.0929,43
block_1,43,43,19.0895,0,0,19.0895,44
block_1,44,44,19.0895,0.72,0,19.103,45
block_1,45,45,19.0895,1.08,0,19.12,46
block_1,46,46,19.0895,1.44,0,19.1437,47
block_1,47,47,19.0895,1.8,0,19.1741,48
block_1,48,48,18.4737,0.36,0,18.4772,49
block_1,49,49,18.4737,0,0,18.4737,50
block_1,50,50,18.4737,0.72,0,18.4877,51
block_1,51,51,18.4737,1.08,0,18.5052,52
block_1,52,52,18.4737,1.44,0,18.5297,53
block_1,53,53,18.4737,1.8,0,18.5612,54
block_1,54,54,17.8579,0.36,0,17.8615,55
block_1,55,55,17.8579,0,0,17.8579,56
block_1,56,56,17.8579,0.72,0,17.8724,57
block_1,57,57,17.8579,1.08,0,17.8905,58
block_1,58,58,17.8579,1.44,0,17.9159,59
block_1,59,59,17.8579,1.8,0,17.9484,60
block_1,60,60,17.2421,0.36,0,17.2459,61
