Block Name,Cell ID,vtkOriginalCellIds,Cell Type,element_side_0,element_side_1,element_side_Magnitude,ids,object_id,stress_rr,stress_tt,stress_zz,stress_tz,stress_rz,stress_rt,r0,r1,t0,t1,vol
block_1,0.0000,0.0000,9.0000,,,,1.0000,1.0000,-4.0760,83.8056,-13.1999,0.0000,9.5482,0,22.7842,23.4000,0.0000,0.3600,32.1651
block_1,1.0000,1.0000,9.0000,,,,2.0000,1.0000,1.1237,42.1134,-9.0890,0.0000,10.2268,0,22.7842,23.4000,0.3600,0.7200,32.1651
block_1,2.0000,2.0000,9.0000,,,,3.0000,1.0000,1.1269,-0.9198,-5.6410,0.0000,9.3993,0,22.7842,23.4000,0.7200,1.0800,32.1651
block_1,3.0000,3.0000,9.0000,,,,4.0000,1.0000,0.6123,-44.2762,-2.9734,0.0000,7.3452,0,22.7842,23.4000,1.0800,1.4400,32.1651
block_1,4.0000,4.0000,9.0000,,,,5.0000,1.0000,1.4116,-87.6455,-1.3186,0.0000,3.2846,0,22.7842,23.4000,1.4400,1.8000,32.1651
block_1,5.0000,5.0000,9.0000,,,,6.0000,1.0000,9.1081,93.7612,1.7807,0.0000,3.1447,0,22.1684,22.7842,0.0000,0.3600,31.3074
block_1,6.0000,6.0000,9.0000,,,,7.0000,1.0000,2.7719,45.9118,-1.2281,0.0000,10.1321,0,22.1684,22.7842,0.3600,0.7200,31.3074
block_1,7.0000,7.0000,9.0000,,,,8.0000,1.0000,-0.4403,-0.3980,-1.8511,0.0000,11.6220,0,22.1684,22.7842,0.7200,1.0800,31.3074
block_1,8.0000,8.0000,9.0000,,,,9.0000,1.0000,-3.9589,-46.5592,-1.6230,0.0000,9.5835,0,22.1684,22.7842,1.0800,1.4400,31.3074
block_1,9.0000,9.0000,9.0000,,,,10.0000,1.0000,-7.2233,-92.7585,-1.3389,0.0000,4.2605,0,22.1684,22.7842,1.4400,1.8000,31.3074
block_1,10.0000,10.0000,9.0000,,,,11.0000,1.0000,18.1201,98.3652,-0.2662,0.0000,3.8371,0,21.5526,22.1684,0.0000,0.3600,30.4496
